InstitutionName,RD2017,RDRank,Citations,PatentsTOP250orALL,PatentsRank,ResearchRank,NationalRank
Nicholls State University,866,434,#N/A,1,236,#N/A,#N/A
Norfolk State University,7296,221,1412,#N/A,0,#N/A,#N/A
North American University,179,590,#N/A,#N/A,0,#N/A,#N/A
North Carolina Central University,14119,185,20623,4,185,#N/A,#N/A
North Carolina State University,500445,21,2332110,721,15,187,70
North Central College,358,544,#N/A,#N/A,0,#N/A,#N/A
North Dakota State University,153119,77,315507,82,90,879,210
North Georgia College & State University,2064,330,#N/A,#N/A,0,#N/A,#N/A
Northeast Ohio Medical University,19216,159,#N/A,#N/A,0,1811,340
Northeastern Illinois University,1403,381,7929,#N/A,0,#N/A,#N/A
Northeastern State University,475,512,#N/A,#N/A,0,#N/A,#N/A
Northeastern University,142349,82,593726,194,57,324,106
Northern Arizona University,46253,119,587418,4,178,814,199
Northern Illinois University,19150,160,214156,31,121,748,184
Northern Kentucky University,1649,357,#N/A,#N/A,0,#N/A,#N/A
Northern Michigan University,1339,386,8393,#N/A,0,#N/A,#N/A
Northwest Indian College,1614,361,#N/A,#N/A,0,#N/A,#N/A
Northwest Missouri State University,586,484,#N/A,2,212,#N/A,#N/A
Northwest Nazarene University,696,457,#N/A,#N/A,0,#N/A,#N/A
Northwestern Health Sciences University,0,0,#N/A,#N/A,0,#N/A,#N/A
Northwestern State University of Louisiana,1373,383,#N/A,#N/A,0,#N/A,#N/A
Northwestern University,751809,14,#N/A,668,18,29,14
Norwich University,878,431,#N/A,#N/A,0,#N/A,#N/A
Nova Southeastern University,22508,148,145325,3,195,1330,277
Oakland Community College,#N/A,0,#N/A,4,181,#N/A,#N/A
Oakland University,14561,182,266206,14,147,1119,253
Oakwood University,979,415,#N/A,#N/A,0,#N/A,#N/A
Oberlin College,1887,340,22693,#N/A,0,-,213
Occidental College,1764,352,14064,#N/A,0,#N/A,#N/A
Oglala Lakota College,659,466,#N/A,#N/A,0,#N/A,#N/A
Ohio Northern University,399,529,#N/A,2,219,#N/A,#N/A
Ohio State University,#N/A,0,3145126,696,16,34,36
Ohio Wesleyan University,405,528,#N/A,#N/A,0,-,293
Oklahoma State University,191478,64,#N/A,120,77,473,139
Old Dominion University,67990,106,571045,23,135,776,192
Olivet University,0,0,#N/A,#N/A,0,#N/A,#N/A
Oregon Health & Science University,348449,34,1373645,#N/A,0,202,88
Oregon Institute of Technology,4159,264,#N/A,#N/A,0,#N/A,#N/A
Oregon State University,267068,45,1871273,153,68,274,89
Ouachita Baptist University,0,0,#N/A,#N/A,0,#N/A,#N/A
